Area construida;Area privada;Precio metro cuadrado;Precio administracion;Estrato;Antiguedad;Estado;Tamaño;Habitaciones;Baños;Parqueaderos;Precio
70;64;6682781;360000;5;2;3;70;2;3;1;470000000
311;287;4276527;892000;5;3;3;311;5;6;3;1330000000
102;102;6715686;390000;4;3;3;102;3;2;2;685000000
48;48;4895833;220000;3;2;3;48;;;0;235000000
194;194;6185567;1100000;6;3;3;194;3;4;3;1200000000
240;240;6250000;1157000;6;5;2;240;3;3;2;1500000000
110;110;5445455;416000;4;3;2;110;3;2;2;599000000
137;137;5474453;800000;6;4;3;137;4;4;2;750000000
76;76;5789474;274000;4;2;2;76;3;2;1;440000000
190;190;6831579;850000;6;4;3;190;3;3;2;1298000000
56;52;5968053;240000;4;3;3;56;2;2;1;340000000
200;200;4650000;970000;6;5;3;200;3;3;1;930000000
46;41;3804348;70000;3;2;2;46;2;1;0;175000000
138;138;4492754;705000;5;2;2;138;4;3;2;620000000
70;70;3571429;236000;4;4;3;70;2;2;1;250000000
72;72;5416667;210000;3;3;3;72;3;3;1;390000000
310;310;6451613;790000;6;4;3;310;4;5;2;2000000000
71;71;4366197;340000;4;4;3;71;2;2;1;310000000
100;100;6500000;755000;6;3;3;100;2;3;2;650000000
45;47;3555556;130000000;3;3;2;45;2;1;1;160000000
52;52;3769231;151700;3;3;2;52;3;1;1;196000000
84;78;5416667;260000;4;2;3;84;3;2;1;455000000
84;78;5416667;260000;4;2;3;84;3;2;1;455000000
86;86;5465116;115000;5;4;3;86;3;3;1;470000000
82;81;3619417;293200;3;2;3;82;4;2;2;299000000
74;74;4054054;217000;3;3;3;74;3;2;1;300000000
66;66;7803030;500000;5;2;3;66;2;2;2;515000000
78;78;6025641;400000;4;2;3;78;1;2;1;470000000
289;289;5363322;1670000;6;4;3;289;4;5;3;1550000000
62;58;2983871;118000;2;4;2;62;3;2;1;185000000
74;74;3783784;170000;3;3;2;74;3;2;1;280000000
165;158;7787879;1100000;6;3;3;165;3;4;3;1285000000
109;109;5825688;400000;4;1;3;109;3;3;2;635000000
37;30;2837838;35000;3;5;2;37;1;1;0;105000000
38;38;3763158;60000;2;3;2;38;3;1;1;143000000
98;98;6479592;240000000;4;2;3;98;3;2;2;635000000
75;73;4466667;195000;4;3;3;75;3;2;1;335000000
42;38;4404762;105000;3;2;3;42;2;1;0;185000000
61;61;4918033;370000;4;4;2;61;2;2;1;300000000
108;108;4981481;409000;6;5;3;108;3;3;1;538000000
96;96;5031120;475000;6;3;3;96;2;2;2;485000000
87;85;4770115;210000;4;2;3;87;3;3;1;415000000
54;50;4351852;240000;4;4;2;54;2;1;1;235000000
136;136;4779412;430000;5;2;3;136;3;3;2;650000000
72;72;3750000;235000;4;3;3;72;3;2;1;270000000
35;35;5685714;235000;4;4;3;35;1;1;0;199000000
84;78;3809524;228000;3;3;2;84;3;2;1;320000000
96;96;4479167;240000;4;3;2;96;4;3;1;430000000
80;70;4362500;325000;4;3;3;80;3;2;1;349000000
60;60;3000000;120000;2;4;2;60;3;2;0;180000000
74;74;2364865;45000;2;3;3;74;5;2;0;175000000
80;80;6500000;470000;6;2;3;80;2;2;2;520000000
68;68;3382353;128000;3;4;2;68;4;2;0;230000000
90;82;4543943;300000;4;3;3;90;3;3;1;410000000
55;49;2363636;70000;2;3;3;55;3;1;0;130000000
55;51;2363636;60000;2;2;3;55;3;2;0;130000000
56;51;2321429;60000;2;2;3;56;3;2;0;130000000
55;50;2363636;70000;2;4;3;55;3;1;0;130000000
60;60;5333333;370000;3;3;3;60;3;1;1;320000000
191;191;1570681;10000;2;4;3;191;7;2;1;300000000
122;122;4999992;367000;5;2;2;122;3;2;2;609999000
74;70;3648649;250000;4;4;3;74;3;2;1;270000000
80;80;3875000;210000;4;2;3;80;3;2;1;310000000
42;42;4285714;88000;3;3;3;42;3;1;0;180000000
71;71;4366197;340000;4;4;3;71;2;2;1;310000000
63;63;5158730;260000;5;2;3;63;2;2;1;325000000
67;64;5000000;230000;4;4;3;67;3;2;1;335000000
127;124;4566929;525000;5;4;2;127;3;2;2;580000000
47;47;3191489;51000;2;4;2;47;3;1;0;150000000
260;260;2884615;10000;3;5;3;260;8;4;1;750000000
122;122;7786885;1100000;6;4;3;122;2;4;1;950000000
58;54;2844828;90000;3;2;3;58;3;2;0;165000000
64;60;4218750;150000;4;3;3;64;3;2;1;270000000
100;100;3500000;105000;3;3;3;100;3;2;0;350000000
205;205;4146341;550000;5;4;3;205;4;4;2;850000000
61;56;4098361;181000;4;3;3;61;2;2;1;250000000
53;48;3773585;116000;3;3;3;53;2;2;0;200000000
223;223;7757848;920000;6;2;3;223;4;5;3;1730000000
156;156;5897436;640000;5;3;3;156;3;3;2;920000000
113;110;4778761;400000;5;3;3;113;3;2;2;540000000
80;80;8125000;340000;3;2;3;80;2;2;1;650000000
116;113;5172414;400000;5;3;3;116;3;2;2;600000000
92;84;4293478;331000;4;3;3;92;3;2;1;395000000
73;73;2931507;100000;3;4;1;73;3;1;0;214000000
64;60;4203125;150000;4;3;3;64;3;2;1;269000000
120;119;7500000;798000;6;3;3;120;3;3;2;900000000
125;125;4120000;219000;4;2;3;125;4;3;2;515000000
56;56;5714286;270000;4;4;3;56;2;2;1;320000000
117;19;4128205;350000;3;5;3;117;3;3;0;483000000
41;35;3170732;63000;2;2;3;41;3;1;0;130000000
41;35;3170732;63000;2;2;3;41;3;1;0;130000000
64;60;4218750;150000;4;3;3;64;3;2;1;270000000
72;72;3750000;245000;4;3;3;72;3;2;1;270000000
52;52;4230769;117000;3;4;3;52;3;1;0;220000000
60;60;3666667;180000;3;2;3;60;3;2;1;220000000
